Runing on: gpu08
Epoch:  83 | training loss: 1.0505 | training accuracy: 0.8973 | val accuracy: 0.8671
Epoch:  83 | training loss: 0.2135 | training accuracy: 0.8957 | val accuracy: 0.8549
Epoch:  84 | training loss: 0.0716 | training accuracy: 0.8987 | val accuracy: 0.8531
Epoch:  84 | training loss: 0.6829 | training accuracy: 0.8957 | val accuracy: 0.8374
Epoch:  85 | training loss: 0.2413 | training accuracy: 0.8930 | val accuracy: 0.8444
Epoch:  85 | training loss: 0.1105 | training accuracy: 0.8958 | val accuracy: 0.8497
Epoch:  86 | training loss: 0.4603 | training accuracy: 0.8977 | val accuracy: 0.8636
Epoch:  86 | training loss: 0.0070 | training accuracy: 0.8945 | val accuracy: 0.8794
Epoch:  87 | training loss: 0.2931 | training accuracy: 0.8997 | val accuracy: 0.8427
Epoch:  87 | training loss: 0.0857 | training accuracy: 0.9028 | val accuracy: 0.8514
Epoch:  88 | training loss: 0.0497 | training accuracy: 0.8977 | val accuracy: 0.8479
Epoch:  88 | training loss: 0.1902 | training accuracy: 0.9010 | val accuracy: 0.8339
Epoch:  89 | training loss: 0.0155 | training accuracy: 0.8944 | val accuracy: 0.8636
Epoch:  89 | training loss: 0.0949 | training accuracy: 0.8940 | val accuracy: 0.8549
Epoch:  90 | training loss: 0.6315 | training accuracy: 0.8933 | val accuracy: 0.8706
Epoch:  90 | training loss: 0.1104 | training accuracy: 0.8965 | val accuracy: 0.8566
Epoch:  91 | training loss: 0.0037 | training accuracy: 0.8985 | val accuracy: 0.8549
Epoch:  91 | training loss: 0.2120 | training accuracy: 0.8998 | val accuracy: 0.8549
Epoch:  92 | training loss: 0.1029 | training accuracy: 0.9006 | val accuracy: 0.8566
Epoch:  92 | training loss: 0.0838 | training accuracy: 0.8985 | val accuracy: 0.8374
Epoch:  93 | training loss: 0.1950 | training accuracy: 0.9041 | val accuracy: 0.8566
Epoch:  93 | training loss: 0.0075 | training accuracy: 0.8943 | val accuracy: 0.8531
Epoch:  94 | training loss: 0.0435 | training accuracy: 0.8983 | val accuracy: 0.8339
Epoch:  94 | training loss: 0.5019 | training accuracy: 0.9035 | val accuracy: 0.8566
Epoch:  95 | training loss: 0.0316 | training accuracy: 0.9039 | val accuracy: 0.8514
Epoch:  95 | training loss: 0.0252 | training accuracy: 0.9011 | val accuracy: 0.8601
Epoch:  96 | training loss: 0.0083 | training accuracy: 0.9037 | val accuracy: 0.8601
Epoch:  96 | training loss: 0.0002 | training accuracy: 0.9042 | val accuracy: 0.8741
Epoch:  97 | training loss: 0.3419 | training accuracy: 0.9014 | val accuracy: 0.8724
Epoch:  97 | training loss: 0.0035 | training accuracy: 0.8974 | val accuracy: 0.8566
Epoch:  98 | training loss: 0.0173 | training accuracy: 0.9010 | val accuracy: 0.8689
Epoch:  98 | training loss: 0.1285 | training accuracy: 0.8974 | val accuracy: 0.8357
Epoch:  99 | training loss: 0.2856 | training accuracy: 0.9060 | val accuracy: 0.8566
Epoch:  99 | training loss: 0.3175 | training accuracy: 0.8990 | val accuracy: 0.8409
